"","Year","District","Electorate","ColNames","Votes","Percentage"
"266",2005,"Colombo","Final District Results","Total No of Valid Votes",1114250,98.86
"267",2005,"Colombo","Final District Results","No of Rejected Votes",12879,1.14
"268",2005,"Colombo","Final District Results","Total No of Votes Polled",1127129,76.75
"269",2005,"Colombo","Final District Results","No of Registered Electors",1468537,NA
"270",2005,"Gampaha","Final District Results","Wimal Geeganage",570,0.05
"271",2005,"Gampaha","Final District Results","Chamil Jayaneththi",856,0.08
"272",2005,"Gampaha","Final District Results","Ajith Kumara Jayaweera Arachchige",418,0.04
"273",2005,"Gampaha","Final District Results","Siritunga Jayasuriya",2790,0.25
"274",2005,"Gampaha","Final District Results","P. Nelson Perera",157,0.01
"275",2005,"Gampaha","Final District Results","Wije Dias",343,0.03
"276",2005,"Gampaha","Final District Results","Anura De Silva",609,0.06
"277",2005,"Gampaha","Final District Results","Aruna de Soyza",631,0.06
"278",2005,"Gampaha","Final District Results","Mahinda Rajapaksha",596698,54.2
"279",2005,"Gampaha","Final District Results","Ranil Wickramasinghe",481764,43.76
"280",2005,"Gampaha","Final District Results","Achala Ashoka Suraweera",2371,0.22
"281",2005,"Gampaha","Final District Results","Victor Hettigoda",1983,0.18
"282",2005,"Gampaha","Final District Results","Hewaheenipallage Shantha Dharmadwaja",87,0.01
"283",2005,"Gampaha","Final District Results","Total No of Valid Votes",1089277,98.94
"284",2005,"Gampaha","Final District Results","No of Rejected Votes",11724,1.06
"285",2005,"Colombo","Maharagama","No of Registered Electors",119137,NA
"286",2005,"Colombo","Kesbewa","No of Registered Electors",140094,NA
"287",2005,"Colombo","Moratuwa","No of Registered Electors",115759,NA
"288",2005,"Gampaha","Final District Results","Total No of Votes Polled",1101001,80.71
"289",2005,"Gampaha","Final District Results","No of Registered Electors",1364180,NA
"290",2005,"Gampaha","Wattala","Wimal Geeganage",37,0.05
"291",2005,"Gampaha","Wattala","Chamil Jayaneththi",47,0.06
"292",2005,"Gampaha","Wattala","Ajith Kumara Jayaweera Arachchige",22,0.03
"293",2005,"Gampaha","Wattala","Siritunga Jayasuriya",200,0.27
"294",2005,"Gampaha","Wattala","P. Nelson Perera",8,0.01
"295",2005,"Gampaha","Wattala","Wije Dias",31,0.04
"296",2005,"Gampaha","Wattala","Anura De Silva",39,0.05
"297",2005,"Gampaha","Wattala","Aruna de Soyza",37,0.05
